record_id,year_be,month,amphoe,sector,scope,activity_data,activity_unit,emission_tCO2e
1,2563,6,บ้านม่วง,การปลูกข้าว (Rice),1,104.5,ไร่ (rai),117.13
2,2563,7,นิคมน้ำอูน,การขนส่งทางถนน (On-road),1,5.0,1000 L,13.15
3,2563,11,เต่างอย,การปลูกข้าว (Rice),1,65.4,ไร่ (rai),81.23
4,2562,4,โคกศรีสุพรรณ,การปลูกข้าว (Rice),1,110.9,ไร่ (rai),116.24
5,2563,9,เต่างอย,การปลูกข้าว (Rice),1,63.1,ไร่ (rai),70.07
6,2562,7,เจริญศิลป์,การปลูกข้าว (Rice),1,70.4,ไร่ (rai),78.07
7,2563,3,อากาศอำนวย,ปศุสัตว์ (Livestock),1,216.2,unit,174.51
8,2562,1,วานรนิวาส,การขนส่งทางถนน (On-road),1,46.3,1000 L,121.95
9,2563,6,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,26.4,1000 L,76.75
10,2563,1,พังโคน,ปศุสัตว์ (Livestock),1,165.3,unit,139.03
11,2564,8,สว่างแดนดิน,ดินที่จัดการ (Managed soil),1,170.3,unit,91.86
12,2564,10,ส่องดาว,การปลูกข้าว (Rice),1,70.1,ไร่ (rai),88.52
13,2564,5,อากาศอำนวย,การปลูกข้าว (Rice),1,85.7,ไร่ (rai),110.63
14,2563,6,ค้อวัง,การปลูกข้าว (Rice),1,101.0,ไร่ (rai),125.1
15,2562,10,พังโคน,ปศุสัตว์ (Livestock),1,74.6,unit,61.46
16,2564,5,เต่างอย,การปลูกข้าว (Rice),1,24.1,ไร่ (rai),26.25
17,2564,7,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,28.7,1000 L,74.49
18,2564,5,เต่างอย,ฝังกลบขยะ (Landfill),1,227.9,unit,191.43
19,2563,12,คำตากล้า,การปลูกข้าว (Rice),1,76.0,ไร่ (rai),91.32
20,2562,9,เมืองสกลนคร,การปลูกข้าว (Rice),1,71.5,ไร่ (rai),95.9
21,2562,4,นิคมน้ำอูน,การปลูกข้าว (Rice),1,70.9,ไร่ (rai),97.36
22,2563,10,ส่องดาว,การปลูกข้าว (Rice),1,88.7,ไร่ (rai),92.44
23,2563,7,สว่างแดนดิน,การปลูกข้าว (Rice),1,80.5,ไร่ (rai),94.19
